,treatment,gender,age,nationality,education,field_of_work,political_party,undefined_question_1,undefined_question_2,undefined_question_3,undefined_question_4,zsg_question_1,zsg_question_2,zsg_question_3,zsg_question_4,nzsg_question_1,nzsg_question_2,nzsg_question_3,nzsg_question_4,nbzsg_avg,nredist_avg,bzsg_factor,redist_factor,redist_factor_2,undefined_effort_diff,zsg_effort_diff,nzsg_effort_diff,undefined_effort_diff_d,zsg_effort_diff_d,nzsg_effort_diff_d,undefined_effort_winner,zsg_effort_winner,nzsg_effort_winner,undefined_effort_loser,zsg_effort_loser,nzsg_effort_loser,counter,diff_zs_nzs,avg_redist_amount,zero_redist
12,treatment_1,1.0,20.0,1.0,3.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666667,0.6119337806447989,0.7849716526925071,0.13860749175145104,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
13,treatment_2,2.0,55.0,1.0,2.0,7.0,7.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.4583333333333333,0.5,0.467020351590151,0.49423630211529435,0.3956995647115882,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
14,treatment_3,2.0,34.0,3.0,1.0,12.0,1.0,0.3333333333333333,1.0,0.3,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,1.0,0.125,0.0,0.29166666666666663,0.5,0.26242614042878076,0.47686396349657584,0.4789500034785037,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.125,0.14166666666666666,0
15,treatment_4,1.0,47.0,1.0,1.0,12.0,6.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666669,0.875,0.12120144446379912,0.8493412107619528,0.8264535958215611,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.16666666666666666,0
16,treatment_5,1.0,50.0,1.0,1.0,8.0,1.0,0.16666666666666666,1.0,0.30000000000000004,0.30000000000000004,0.3333333333333333,1.0,0.28125,0.275,0.16666666666666666,0.0,0.0,0.0,0.29166666666666663,0.5,0.28385969516713844,0.6218963199767055,-0.039491593793031174,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.28125,0.19375,0
18,treatment_1,1.0,29.0,3.0,1.0,9.0,6.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47916666666666663,0.29166666666666663,0.5097049567729013,0.18729694659211446,0.6149458053691325,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
19,treatment_2,1.0,47.0,1.0,1.0,12.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.10416666666666666,0.33333333333333337,0.0935623484460855,0.36988480377823446,0.18955293315710775,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
20,treatment_3,1.0,51.0,1.0,1.0,12.0,6.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5833333333333333,1.0,0.571561384626469,1.0255101518385132,0.7356057766366939,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
21,treatment_4,1.0,29.0,1.0,1.0,8.0,6.0,0.3333333333333333,1.0,0.2,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4791666666666667,0.9166666666666666,0.5051398953873083,0.8947397373918936,0.8640041981093712,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.06666666666666667,0
22,treatment_5,2.0,34.0,1.0,2.0,5.0,6.0,0.6666666666666666,1.0,0.4,1.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.4166666666666667,0.7083333333333333,0.48710716100461465,0.6425317396995198,0.8149997482089355,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.13333333333333333,0
