participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.treatment,player.gender,player.age,player.nationality,player.education,player.field_of_work,player.political_party,player.bzsg_1,player.bzsg_2,player.bzsg_3,player.bzsg_4,player.bzsg_5,player.bzsg_6,player.bzsg_7,player.bzsg_8,player.redistribution_1,player.redistribution_2,player.redistribution_3,player.redistribution_4,player.undefined_question_1,player.undefined_question_2,player.undefined_question_3,player.undefined_question_4,player.zsg_question_1,player.zsg_question_2,player.zsg_question_3,player.zsg_question_4,player.nzsg_question_1,player.nzsg_question_2,player.nzsg_question_3,player.nzsg_question_4,player.feedback,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ge0eugfd,,0,1,16,,,2019-12-01 18:53:14.849616+00:00,1,,,0,1,treatment_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
2,g33kovcs,,0,1,16,inequality_research_survey,WelcomePage,2019-12-01 18:53:50.249208+00:00,1,,,0,2,treatment_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
3,2hrj9rcc,,0,1,16,inequality_research_survey,WelcomePage,2019-12-01 18:55:35.375709+00:00,1,,,0,3,treatment_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
4,8bhrzfhu,,0,16,16,inequality_research_survey,ExitPage,2019-12-01 20:17:06.195699+00:00,1,,,0,4,treatment_4,2,61,1,1,11,6,,,,,,,,,,,,,2,0,0,0,2,0,0,0,2,0,0,0,,0,1,1,dys7tayj,,,,,,0
5,jidnhg79,,0,1,16,inequality_research_survey,WelcomePage,2019-12-01 20:22:00.080992+00:00,1,,,0,5,treatment_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
6,9sfj3ero,,0,16,16,inequality_research_survey,ExitPage,2019-12-01 20:22:08.380401+00:00,1,,,0,6,treatment_6,2,23,1,1,13,6,,,,,,,,,,,,,3,1,14,14,4,1,200,100,2,0,0,0,,0,1,1,dys7tayj,,,,,,0
7,tqlxrtfy,,0,4,16,inequality_research_survey,Vignette_1,2019-12-01 20:22:18.145356+00:00,1,,,0,7,treatment_1,1,27,1,1,12,4,1,1,1,3,1,1,1,5,3,1,1,4,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
8,slbup518,,0,1,16,inequality_research_survey,WelcomePage,2019-12-01 20:22:44.161582+00:00,1,,,0,8,treatment_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
9,9d8ugthr,,0,15,16,inequality_research_survey,Feedback,2019-12-01 20:23:49.299868+00:00,1,,,0,9,treatment_3,2,21,1,3,10,2,3,7,5,4,2,6,2,3,5,6,4,2,4,0,0,0,2,0,0,0,1,0,0,0,,0,1,1,dys7tayj,,,,,,0
10,84vo5y38,,0,16,16,inequality_research_survey,ExitPage,2019-12-01 20:24:40.123684+00:00,1,,,0,10,treatment_4,1,24,1,1,12,6,,,,,,,,,,,,,4,1,0,0,3,0,0,0,1,0,0,0,,0,1,1,dys7tayj,,,,,,0
11,vk08w9xk,,0,1,16,inequality_research_survey,WelcomePage,2019-12-01 20:24:41.038959+00:00,1,,,0,11,treatment_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
12,u9zsfsc5,,0,4,16,inequality_research_survey,Vignette_1,2019-12-01 20:24:43.641943+00:00,1,,,0,12,treatment_6,2,24,1,3,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
13,kzcapyui,,0,3,16,inequality_research_survey,Beliefs,2019-12-01 20:26:17.232937+00:00,1,,,0,13,treatment_1,2,29,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
14,jsm5glkv,,0,16,16,inequality_research_survey,ExitPage,2019-12-01 20:27:20.414160+00:00,1,,,0,14,treatment_2,3,25,1,1,13,2,,,,,,,,,,,,,3,0,0,0,2,0,0,0,2,0,0,0,,0,1,1,dys7tayj,,,,,,0
15,60vurzy0,,0,3,16,inequality_research_survey,Beliefs,2019-12-01 20:27:36.615114+00:00,1,,,0,15,treatment_3,2,27,1,3,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
16,2g9awyxa,,0,4,16,inequality_research_survey,Vignette_1,2019-12-01 20:31:12.620800+00:00,1,,,0,16,treatment_4,2,34,1,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
17,srfaxn9v,,0,3,16,inequality_research_survey,Beliefs,2019-12-01 20:32:18.729419+00:00,1,,,0,17,treatment_5,2,21,1,3,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
18,7jav0tns,,0,16,16,inequality_research_survey,ExitPage,2019-12-01 20:32:53.322546+00:00,1,,,0,18,treatment_6,2,19,1,3,13,6,,,,,,,,,,,,,2,0,0,0,3,0,0,0,3,0,0,0,,0,1,1,dys7tayj,,,,,,0
19,l6brpoz7,,0,16,16,inequality_research_survey,ExitPage,2019-12-01 20:35:33.238228+00:00,1,,,0,19,treatment_1,2,21,1,1,13,4,2,3,2,5,2,1,1,6,6,5,7,1,3,1,0,0,2,0,0,0,4,0,0,0,,0,1,1,dys7tayj,,,,,,0
20,he195td1,,0,2,16,inequality_research_survey,DemographicQuestions,2019-12-01 20:35:48.229559+00:00,1,,,0,20,treatment_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
21,xo00x15a,,0,4,16,inequality_research_survey,Vignette_1,2019-12-01 20:40:56.753078+00:00,1,,,0,21,treatment_3,2,77,2,3,6,4,7,7,7,7,7,7,7,7,7,7,7,1,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
22,gq79b8lw,,0,16,16,inequality_research_survey,ExitPage,2019-12-01 20:41:11.051764+00:00,1,,,0,22,treatment_4,2,40,1,1,11,6,,,,,,,,,,,,,2,0,0,0,2,0,0,0,2,0,0,0,,0,1,1,dys7tayj,,,,,,0
23,jmkmlq0h,,0,16,16,inequality_research_survey,ExitPage,2019-12-01 20:42:14.016924+00:00,1,,,0,23,treatment_5,1,18,1,3,13,6,2,5,5,3,5,5,2,5,7,7,5,2,1,0,0,0,1,0,0,0,1,0,0,0,,0,1,1,dys7tayj,,,,,,0
24,7j50oidj,,0,5,16,inequality_research_survey,Vignette_2,2019-12-01 20:45:50.502001+00:00,1,,,0,24,treatment_6,2,20,1,3,13,1,,,,,,,,,,,,,3,0,0,0,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
25,4wqwvcoh,,0,3,16,inequality_research_survey,Beliefs,2019-12-01 20:47:29.134436+00:00,1,,,0,25,treatment_1,2,24,1,1,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,dys7tayj,,,,,,0
